"id","name"
0,"Agricultural Machinery, Equipment, and Facilities Support Services"
1,"Agriculture and Fishery Policy Services"
2,"Agriculture and Fishery Regulatory Support"
3,"Credit Support Services"
4,"Cross-Cutting"
5,"Extension Support, Education and Training Services"
6,"Farm-to-market Road Network Services"
7,"Irrigation Network Services"
8,"Market Development Services"
9,"Non-DA programs"
10,"Others"
11,"Production Support Services"
12,"Research and Development"
13,"Support to Operations"
