company_id,company_name,listing_date,security_name,security_symbol,security_symbol_id,security_type,subsector_name
29,"2GO Group, Inc.",1995-05-15 00:00:00.000,"2GO GROUP, INC.",2GO,146,S,13
626,"8990 Holdings, Inc.",2017-12-01 00:00:00.000,"8990 Holdings, Inc. Series A Perpetual Preferred Shares",8990P,637,P,9
626,"8990 Holdings, Inc.",2010-12-09 00:00:00.000,"8990 HOLDINGS, INC.",HOUSE,563,S,9
13,"A Brown Company, Inc.",1994-02-08 00:00:00.000,"A. BROWN COMPANY, INC.",BRN,234,S,9
14,A. Soriano Corporation,1973-10-25 00:00:00.000,A. SORIANO CORPORATION,ANS,169,S,8
114,ABS-CBN Corporation,1992-07-08 00:00:00.000,ABS-CBN CORPORATION,ABS,123,S,10
15,ABS-CBN Holdings Corporation,1999-10-07 00:00:00.000,ABS-CBN HOLDINGS CORPORATION - PHIL. DEPOSIT RECEIPTS,ABSP,259,R,10
233,"AC Energy Philippines, Inc.",1970-01-05 00:00:00.000,"AC Energy Philippines, Inc.",ACEPH,140,S,3
653,"ACE Enexor, Inc",2014-08-28 00:00:00.000,"ACE Enexor, Inc.",ACEX,599,S,18
177,"APC Group, Inc.",1994-03-08 00:00:00.000,"APC GROUP, INC.",APC,182,S,16
56,"ATN Holdings, Inc.",1970-09-24 00:00:00.000,"ATN HOLDINGS, INC. ""A""",ATN,176,S,8
56,"ATN Holdings, Inc.",1970-09-24 00:00:00.000,"ATN HOLDINGS, INC. ""B""",ATNB,175,S,8
174,"AbaCore Capital Holdings, Inc.",1987-10-28 00:00:00.000,"ABACORE CAPITAL HOLDINGS, INC.",ABA,173,S,8
16,"Aboitiz Equity Ventures, Inc.",1994-11-16 00:00:00.000,"ABOITIZ EQUITY VENTURES, INC.",AEV,183,S,8
609,Aboitiz Power Corporation,2007-07-16 00:00:00.000,ABOITIZ POWER CORP.,AP,532,S,3
33,Abra Mining and Industrial Corporation,1969-12-24 00:00:00.000,ABRA MINING & INDUSTRIAL CORPORATION,AR,321,S,17
48,Acesite (Phils.) Hotel Corporation,1986-12-05 08:03:44.855,ACESITE (PHILIPPINES) HOTEL CORPORATION,ACE,370,S,14
619,"AgriNurture, Inc.",2009-05-25 00:00:00.000,"AGRINURTURE, INC.",ANI,547,S,4
674,AllHome Corp.,2019-10-10 00:00:00.000,AllHome Corp.,HOME,647,S,26
212,"Alliance Global Group, Inc.",1999-04-19 00:00:00.000,"ALLIANCE GLOBAL GROUP, INC.",AGI,179,S,8
602,"Alliance Select Foods International, Inc.",2006-11-08 00:00:00.000,"ALLIANCE SELECT FOODS INTERNATIONAL, INC.",FOOD,524,S,4
121,"Alsons Consolidated Resources, Inc.",1993-04-12 00:00:00.000,"ALSONS CONSOLIDATED RESOURCES, INC.",ACR,170,S,3
612,"Anchor Land Holdings, Inc.",2007-08-08 00:00:00.000,"ANCHOR LAND HOLDINGS, INC.",ALHI,536,S,9
52,Anglo Philippine Holdings Corporation,1959-07-31 00:00:00.000,ANGLO PHILIPPINE HOLDINGS CORPORATION,APO,171,S,8
178,"Apex Mining Co., Inc.",1974-03-07 00:00:00.000,"APEX MINING COMPANY, INC. ""A""",APX,318,S,17
638,"Apollo Global Capital, Inc.",2012-10-18 00:00:00.000,"APOLLO GLOBAL CAPITAL, INC.",APL,581,S,12
38,"Araneta Properties, Inc.",1989-11-14 00:00:00.000,"ARANETA PROPERTIES, INC.",ARA,294,S,9
172,Arthaland Corporation,1996-03-19 00:00:00.000,ARTHALAND CORPORATION,ALCO,316,S,9
172,Arthaland Corporation,2016-12-06 00:00:00.000,"ARTHALAND CORPORATION SERIES ""B"" PERPETUAL PREFERRED SHARES",ALCPB,630,P,9
172,Arthaland Corporation,2019-06-27 00:00:00.000,"Arthaland Corporation Series ""C"" Perpetual Preferred Shares",ALCPC,644,P,26
55,Asia Amalgamated Holdings Corporation,1973-03-22 00:00:00.000,ASIA AMALGAMATED HOLDINGS,AAA,347,S,8
641,Asia United Bank Corporation,2013-05-17 00:00:00.000,ASIA UNITED BANK CORPORATION,AUB,584,S,1
176,Asiabest Group International Inc.,1979-07-10 00:00:00.000,ASIABEST GROUP INTERNATIONAL INC.,ABG,350,S,8
53,"Asian Terminals, Inc.",1996-01-25 00:00:00.000,"ASIAN TERMINALS, INC.",ATI,141,S,13
34,Atlas Consolidated Mining and Development Corporation,1970-11-17 00:00:00.000,ATLAS CONSOLIDATED MINING & DEVELOPMENT CORPORATION,AT,320,S,17
19,"Atok-Big Wedge Co., Inc.",1948-01-08 00:00:00.000,"ATOK-BIG WEDGE COMPANY, INC. ""A""",AB,181,S,17
673,Axelum Resources Corp.,2019-10-07 00:00:00.000,Axelum Resources Corp.,AXLM,646,S,4
57,Ayala Corporation,1976-11-08 00:00:00.000,AYALA CORPORATION,AC,180,S,8
57,Ayala Corporation,2008-11-25 00:00:00.000,"AYALA CORPORATION PREFERRED CLASS ""A"" SHARES",ACPA,546,P,8
57,Ayala Corporation,2006-07-21 00:00:00.000,"AYALA CORPORATION PREFERRED CLASS ""B"" SHARES",ACPB1,523,P,8
57,Ayala Corporation,2019-11-29 00:00:00.000,"Ayala Corporation Class ""B"" Series 2 Preferred Shares",APB2R,651,P,8
180,"Ayala Land, Inc.",1991-07-05 00:00:00.000,"AYALA LAND, INC.",ALI,293,S,9
26,AyalaLand Logistics Holdings Corp.,1990-02-28 00:00:00.000,AyalaLand Logistics Holdings Corp.,ALLHC,202,S,8
31,"BDO Leasing and Finance, Inc.",1997-01-06 00:00:00.000,"BDO LEASING & FINANCE, INC.",BLFI,121,S,2
260,"BDO Unibank, Inc.",2002-05-21 00:00:00.000,"BDO UNIBANK, INC.",BDO,468,S,1
62,"BHI Holdings, Inc.",1973-04-02 00:00:00.000,"BHI HOLDINGS, INC.",BH,358,S,8
234,Bank of the Philippine Islands,1971-10-12 00:00:00.000,BANK OF THE PHILIPPINE ISLANDS,BPI,101,S,1
60,Basic Energy Corporation,1973-10-16 00:00:00.000,BASIC ENERGY CORPORATION,BSC,188,S,3
21,Belle Corporation,1977-02-02 00:00:00.000,BELLE CORPORATION,BEL,252,S,9
108,Benguet Corporation,1950-01-04 00:00:00.000,"BENGUET CORPORATION ""A""",BC,353,S,17
108,Benguet Corporation,1950-01-04 00:00:00.000,"BENGUET CORPORATION ""B""",BCB,322,S,17
108,Benguet Corporation,1974-05-29 00:00:00.000,BENGUET CORPORATION - 8% CUMULATIVE CONVERTIBLE PREF. A,BCP,354,P,17
9,Berjaya Philippines Inc.,1948-11-29 00:00:00.000,"BERJAYA PHILIPPINES, INC.",BCOR,391,S,25
49,Bloomberry Resorts Corporation,2000-10-17 00:00:00.000,BLOOMBERRY RESORTS CORPORATION,BLOOM,233,S,25
181,"Bogo-Medellin Milling Company, Inc.",1950-11-16 00:00:00.000,BOGO-MEDELLIN MILLING COMPANY,BMM,359,S,4
63,"Boulevard Holdings, Inc.",1997-04-28 00:00:00.000,"BOULEVARD HOLDINGS, INC.",BHI,187,S,14
66,Bright Kindle Resources & Investments Inc.,1995-03-21 00:00:00.000,BRIGHT KINDLE RESOURCES & INVESTMENTS INC.,BKR,116,S,2
601,"COL Financial Group, Inc.",2006-07-12 00:00:00.000,"COL FINANCIAL GROUP, INC.",COL,522,S,2
624,"Cebu Air, Inc.",2010-10-26 00:00:00.000,"CEBU AIR, INC.",CEB,560,S,13
110,"Cebu Holdings, Incorporated",1994-02-14 00:00:00.000,"CEBU HOLDINGS, INC.",CHI,298,S,9
